Polski;Angielski;Niemiecki;Hiszpański;Włoski;Chiński
🌸 Bądź szczęśliwy 😊✨;🌸 Be happy 😊✨  ;🌸 Sei glücklich 😊✨;🌸 Sé feliz 😊✨;🌸 Sii felice 😊✨;🌸 快乐起来 😊✨
🌞 Uśmiechnij się 😄🌟;🌞 Smile 😄🌟  ;🌞 Lächle 😄🌟;🌞 Sonríe 😄🌟;🌞 Sorridi 😄🌟;🌞 微笑 😄🌟
💎 Jesteś najlepszy 🏆💖;💎 You are the best 🏆💖  ;💎 Du bist der/die Beste 🏆💖;💎 Eres el mejor 🏆💖;💎 Sei il migliore 🏆💖;💎 你是最棒的 🏆💖
🦋 Nigdy nie wątp w siebie 💭🚫💪;🦋 Never doubt in yourself 💭🚫💪  ;🦋 Zweifle nie an dir selbst 💭🚫💪;🦋 Nunca dudes de ti mismo 💭🚫💪;🦋 Non dubitare mai di te stesso 💭🚫💪;🦋 永远不要怀疑自己 💭🚫💪
⚡ Idź dalej ➡️🔥;⚡ Keep going ➡️🔥  ;⚡ Mach weiter ➡️🔥;⚡ Sigue adelante ➡️🔥;⚡ Continua ➡️🔥;⚡ 继续前进 ➡️🔥
🌈 Dasz radę 🙌✅;🌈 You got it 🙌✅  ;🌈 Du schaffst das 🙌✅;🌈 Lo tienes 🙌✅;🌈 Ce l'hai fatta 🙌✅;🌈 你一定可以的 🙌✅
🏔️ Nigdy się nie poddawaj 💪🚀;🏔️ Never give up 💪🚀  ;🏔️ Gib niemals auf 💪🚀;🏔️ Nunca te rindas 💪🚀;🏔️ Non mollare mai 💪🚀;🏔️ 永不放弃 💪🚀
🕊️ Wierz w siebie 🌟💖;🕊️ Believe in yourself 🌟💖  ;🕊️ Glaube an dich selbst 🌟💖;🕊️ Cree en ti mismo 🌟💖;🕊️ Credi in te stesso 🌟💖;🕊️ 相信自己 🌟💖
🎨 Miej wielkie marzenia ✨🌈;🎨 Dream big ✨🌈  ;🎨 Träume groß ✨🌈;🎨 Sueña en grande ✨🌈;🎨 Sogna in grande ✨🌈;🎨 敢于梦想 ✨🌈
🌊 Jesteś silniejszy niż myślisz 💪🧠;🌊 You are stronger than you think 💪🧠  ;🌊 Du bist stärker als du denkst 💪🧠;🌊 Eres más fuerte de lo que crees 💪🧠;🌊 Sei più forte di quanto pensi 💪🧠;🌊 你比你想象的更强大 💪🧠
🌻 Bądź pozytywny 😊☀️;🌻 Stay positive 😊☀️  ;🌻 Bleib positiv 😊☀️;🌻 Mantente positivo 😊☀️;🌻 Rimani positivo 😊☀️;🌻 保持积极 😊☀️
🧩 Krok po kroku 🚶🛤️;🧩 One step at a time 🚶🛤️  ;🧩 Schritt für Schritt 🚶🛤️;🧩 Un paso a la vez 🚶🛤️;🧩 Un passo alla volta 🚶🛤️;🧩 一步一个脚印 🚶🛤️
